delay,freq,condition,Response,,,,
0.1,400,unexp,400,,,,
0.7,400,unexp,600,,,,
0.4,400,unexp,500,,,,
0.4,400,unexp,400,,,,
0.1,400,unexp,550,,,,
0.7,400,unexp,99,,,,
0.7,400,unexp,300,,,avg of unexpected ,349.9333333
0.1,400,unexp,150,,,avg of expected,265.4444444
0.4,400,unexp,200,,,,
0.7,400,unexp,200,,,,
0.1,400,unexp,380,,,,
0.4,400,unexp,550,,,,
0.1,400,unexp,220,,,,
0.4,400,unexp,400,,,,
0.7,400,unexp,300,,,,
0.7,1000,exp,100,,,,
0.1,1000,exp,200,,,,
0.7,1000,exp,300,,,,
0.4,1000,exp,200,,,,
0.1,1000,exp,250,,,,
0.4,1000,exp,350,,,,
0.4,1000,exp,450,,,,
0.7,1000,exp,150,,,,
0.1,1000,exp,300,,,,
0.4,1000,exp,420,,,,
0.1,1000,exp,340,,,,
0.4,1000,exp,240,,,,
0.4,1000,exp,300,,,,
0.1,1000,exp,360,,,,
0.1,1000,exp,400,,,,
0.7,1000,exp,670,,,,
0.7,1000,exp,400,,,,
0.7,1000,exp,230,,,,
0.1,1000,exp,300,,,,
0.4,1000,exp,100,,,,
0.7,1000,exp,95,,,,
0.7,1000,exp,100,,,,
0.1,1000,exp,200,,,,
0.1,1000,exp,150,,,,
0.4,1000,exp,220,,,,
0.4,1000,exp,120,,,,
0.7,1000,exp,150,,,,
0.7,1000,exp,140,,,,
0.7,1000,exp,210,,,,
0.4,1000,exp,110,,,,
0.4,1000,exp,200,,,,
0.1,1000,exp,250,,,,
0.1,1000,exp,600,,,,
0.1,1000,exp,700,,,,
0.4,1000,exp,120,,,,
0.7,1000,exp,180,,,,
0.4,1000,exp,160,,,,
0.1,1000,exp,170,,,,
0.1,1000,exp,110,,,,
0.7,1000,exp,180,,,,
0.4,1000,exp,220,,,,
0.7,1000,exp,300,,,,
0.4,1000,exp,400,,,,
0.7,1000,exp,500,,,,
0.1,1000,exp,300,,,,